rule_id,rule_string,lambda,D,gamma,population,classification,period
14082,"B0134/S18",0.044922,1.8374,1755.4902,6766,aperiodic,
14083,"B0134/S018",0.044796,1.8340,1444.1082,6652,aperiodic,
14084,"B0134/S28",0.044908,1.8408,1822.4643,6994,aperiodic,
14085,"B0134/S028",0.044986,1.8461,1832.0141,7221,aperiodic,
14086,"B0134/S128",0.044973,1.8432,1855.9383,7159,aperiodic,
14087,"B0134/S0128",0.044927,1.8438,1809.9026,7133,aperiodic,
14088,"B0134/S38",0.044962,1.8455,2179.7489,7055,aperiodic,
14089,"B0134/S038",0.044991,1.8458,2172.3040,7069,aperiodic,
14090,"B0134/S138",0.044944,1.8549,2340.4576,7442,aperiodic,
14091,"B0134/S0138",-10.000000,1.8441,1952.3636,7142,aperiodic,
14092,"B0134/S238",0.045009,1.8572,2376.5389,7671,aperiodic,
14093,"B0134/S0238",0.045037,1.8502,1975.1373,7422,aperiodic,
14094,"B0134/S1238",0.045064,1.8600,2113.4041,7780,aperiodic,
14095,"B0134/S01238",0.045087,1.8571,2355.0106,7712,aperiodic,
14096,"B0134/S48",0.044864,1.8611,2640.6764,7280,aperiodic,
14097,"B0134/S048",0.045025,1.8636,2736.1504,7352,aperiodic,
14098,"B0134/S148",0.044988,1.8639,2798.0326,7488,aperiodic,
14099,"B0134/S0148",0.044996,1.8586,2556.6601,7338,aperiodic,
14100,"B0134/S248",0.045083,1.8573,2569.6601,7356,aperiodic,
14101,"B0134/S0248",0.045036,1.8623,2869.3007,7592,aperiodic,
14102,"B0134/S1248",0.044984,1.8644,2729.6730,7787,aperiodic,
14103,"B0134/S01248",0.045057,1.8644,2769.4381,7786,aperiodic,
14104,"B0134/S348",0.045059,1.8733,3003.9350,7972,aperiodic,
14105,"B0134/S0348",0.045044,1.8715,3073.4902,7919,aperiodic,
14106,"B0134/S1348",0.045065,1.8719,2930.4739,7996,aperiodic,
14107,"B0134/S01348",0.045033,1.8720,2992.0000,8009,aperiodic,
14108,"B0134/S2348",0.045051,1.8762,3194.3399,8228,aperiodic,
14109,"B0134/S02348",0.045075,1.8724,2862.2294,8129,aperiodic,
14110,"B0134/S12348",0.044882,1.8624,2480.2147,7883,aperiodic,
14111,"B0134/S012348",0.045106,1.8652,2554.5626,8009,aperiodic,
14112,"B0134/S58",0.044931,1.8472,1892.4902,6706,aperiodic,
14113,"B0134/S058",0.044901,1.8472,2068.6764,6729,aperiodic,
14114,"B0134/S158",0.044984,1.8580,2500.3007,7129,aperiodic,
14115,"B0134/S0158",0.044996,1.8562,2524.9967,7060,aperiodic,
14116,"B0134/S258",0.045081,1.8667,2720.3366,7497,aperiodic,
14117,"B0134/S0258",0.045100,1.8730,3095.3366,7747,aperiodic,
14118,"B0134/S1258",0.045009,1.8707,3153.8105,7760,aperiodic,
14119,"B0134/S01258",0.045066,1.8739,3122.6406,7849,aperiodic,
14120,"B0134/S358",0.045070,1.8752,3082.6406,7752,aperiodic,
14121,"B0134/S0358",0.045086,1.8800,3328.3203,7956,aperiodic,
14122,"B0134/S1358",0.045036,1.8812,3404.6406,8076,aperiodic,
14123,"B0134/S01358",0.044997,1.8787,3344.3203,8022,aperiodic,
14124,"B0134/S2358",0.044988,1.8810,3463.1958,8088,aperiodic,
14125,"B0134/S02358",0.045061,1.8796,3345.1504,8098,aperiodic,
14126,"B0134/S12358",0.045019,1.8783,3221.1862,8111,aperiodic,
14127,"B0134/S012358",0.045002,1.8936,3699.8105,8806,aperiodic,
